date,session,config,training_data,lens,filters,mph,avg_g,dist_m,True Path (m),Achieved Yaw (deg),Duration (s),behaviour,runID
2026-09-01,2026-09-01 suite,LSTMABS_baseline,all 5 corpus variants,baseline (uniform),none,60.0,0.2278,160.7351,,,,onset trap (abs_1f),
2026-09-01,2026-09-01 suite,LSTMABS_baseline,all 5 corpus variants,baseline (uniform),none,60.0,0.2282,160.4386,,,,onset trap (abs_1f),
2026-09-01,2026-09-01 suite,LSTMABS_baseline,all 5 corpus variants,baseline (uniform),none,80.0,0.2156,302.1557,,,,onset trap (abs_1f),
2026-09-01,2026-09-01 suite,LSTMABS_baseline,all 5 corpus variants,baseline (uniform),none,80.0,0.2162,301.3099,,,,onset trap (abs_1f),
2026-09-01,2026-09-01 suite,LSTMABS_avg_g_window,all 5 corpus variants,avg_g_window,none,60.0,0.2282,160.4523,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_avg_g_window,all 5 corpus variants,avg_g_window,none,60.0,0.2291,159.8557,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_avg_g_window,all 5 corpus variants,avg_g_window,none,80.0,0.1776,366.7388,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_avg_g_window,all 5 corpus variants,avg_g_window,none,80.0,0.178,365.9324,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_peak_g,all 5 corpus variants,peak_g,none,60.0,0.2295,159.5242,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_peak_g,all 5 corpus variants,peak_g,none,60.0,0.2309,158.6127,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_peak_g,all 5 corpus variants,peak_g,none,80.0,0.1779,366.1936,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_peak_g,all 5 corpus variants,peak_g,none,80.0,0.1784,365.0803,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_yaw_intent,all 5 corpus variants,yaw_intent,none,60.0,0.2252,162.5766,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_yaw_intent,all 5 corpus variants,yaw_intent,none,60.0,0.2263,161.8432,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_yaw_intent,all 5 corpus variants,yaw_intent,none,80.0,0.1766,368.9236,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_yaw_intent,all 5 corpus variants,yaw_intent,none,80.0,0.1766,368.8848,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_combined,all 5 corpus variants,combined,none,80.0,0.2276,160.9226,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_curation,top-quartile corpus episodes,curation,top 25% by mean fwd g,60.0,1.0039,36.477,,,,modulates then locks,
2026-09-01,2026-09-01 suite,LSTMABS_curation,top-quartile corpus episodes,curation,top 25% by mean fwd g,60.0,1.0178,35.9767,,,,modulates then locks,
2026-09-01,2026-09-01 suite,LSTMABS_curation,top-quartile corpus episodes,curation,top 25% by mean fwd g,80.0,1.0158,36.0486,,,,modulates then locks,
2026-09-01,2026-09-01 suite,LSTMABS_curation,top-quartile corpus episodes,curation,top 25% by mean fwd g,80.0,1.0062,64.735,,,,modulates then locks,
2026-09-01,2026-09-01 suite,LSTMABS_peak_g_norpm,all 5 corpus variants,peak_g,rpm+gear zeroed,60.0,0.2238,163.599,,,,onset trap,
2026-09-01,2026-09-01 suite,LSTMABS_peak_g_norpm,all 5 corpus variants,peak_g,rpm+gear zeroed,60.0,0.2252,162.6313,,,,onset trap,
2026-09-01,2026-09-01 suite,DynamicABS1,reference: DynamicABS (classical),n/a,n/a,60.0,1.2034,30.4291,,,,teacher,
2026-09-01,2026-09-01 suite,DynamicABS1,reference: DynamicABS (classical),n/a,n/a,60.0,1.2118,30.2181,,,,teacher,
2026-09-02,closedloop,LSTMABS_baseline,all 5 corpus variants,baseline (uniform),none,60.0,0.7759,47.193,47.19,2.1,3.01,onset trap (abs_1f),1788340491-0001
2026-09-02,closedloop,LSTMABS_avg_g_window,all 5 corpus variants,avg_g_window,none,60.0,0.2276,160.8645,160.86,3.2,8.57,onset trap,1788340521-0001
2026-09-02,closedloop,LSTMABS_curation,top-quartile corpus episodes,curation,top 25% by mean fwd g,60.0,1.066,34.3503,34.35,0.8,2.44,modulates then locks,1788340556-0001
2026-09-02,hg,LSTMABS_baseline_hg,corpus minus abs_1f,baseline,peak fwd g >= 0.9,60.0,1.0147,36.0869,36.09,3.0,2.61,ramps then locks,1788340878-0001
2026-09-02,hg,LSTMABS_baseline_hg,corpus minus abs_1f,baseline,peak fwd g >= 0.9,60.0,1.0177,35.9825,,,,ramps then locks,1788340911-0002
2026-09-02,hg,LSTMABS_avg_g_window_hg,corpus minus abs_1f,avg_g_window,peak fwd g >= 0.9,60.0,1.0294,35.5711,35.57,2.8,2.55,locks,1788340941-0001
2026-09-02,hg,LSTMABS_avg_g_window_hg,corpus minus abs_1f,avg_g_window,peak fwd g >= 0.9,60.0,1.0308,35.5253,35.53,2.3,2.53,locks,1788340973-0002
2026-09-02,obscap2,LSTMABS_baseline_stock,"corpus stock_abs+stock_full, 4 cars",baseline,peak >= 0.9,60.0,0.8933,40.9932,41.0,3.1,3.69,"modulates, gives up < 12 m/s",1788341768-0001
2026-09-02,obscap2,LSTMABS_baseline_stock800,"corpus stock, etk800 only",baseline,peak >= 0.9,60.0,1.0716,34.1715,34.17,2.1,2.46,modulates ~1s then locks,1788341800-0001
2026-09-02,obscap2,LSTMABS_baseline_stock16,"corpus stock, 4 cars","baseline, 16 epochs",peak >= 0.9,60.0,0.7467,49.0416,,,,overfit,1788341830-0001
2026-09-02,obscap2,LSTMABS_baseline_stocknorpm,"corpus stock, 4 cars",baseline,"peak >= 0.9, rpm+gear zeroed",60.0,0.9874,37.0845,37.08,1.0,2.56,,1788341861-0001
2026-09-02,stock,LSTMABS_baseline_stock,"corpus stock_abs+stock_full, 4 cars",baseline,peak >= 0.9,60.0,0.8942,40.9518,40.96,3.2,3.68,"modulates, gives up < 12 m/s",1788341071-0001
2026-09-02,stock,LSTMABS_baseline_stock,"corpus stock_abs+stock_full, 4 cars",baseline,peak >= 0.9,60.0,0.8937,40.9723,40.99,4.4,3.67,"modulates, gives up < 12 m/s",1788341106-0002
2026-09-02,stock,LSTMABS_avg_g_window_stock,"corpus stock, 4 cars",avg_g_window,peak >= 0.9,60.0,1.0319,35.4849,,,,locks,1788341137-0001
2026-09-02,stock,LSTMABS_avg_g_window_stock,"corpus stock, 4 cars",avg_g_window,peak >= 0.9,60.0,1.026,35.69,,,,locks,1788341171-0002
2026-09-02,stock,LSTMABS_curation_hg,corpus minus abs_1f,curation,peak fwd g >= 0.9,60.0,0.8813,41.548,,,,soft,1788341202-0001
2026-09-02,stock,LSTMABS_curation_hg,corpus minus abs_1f,curation,peak fwd g >= 0.9,60.0,0.8935,40.9841,,,,soft,1788341236-0002
2026-09-02,force1,LSTMABS_baseline FORCE_CMD=1.0,n/a (control),n/a,output hardcoded 1.0,60.0,1.0017,36.5572,36.56,3.5,2.56,locked-wheel reference,1788340342-0001
2026-09-02,final,LSTMABS_baseline_stock800,"corpus stock, etk800 only",baseline,peak >= 0.9,60.0,1.0714,34.1768,34.18,2.0,2.46,modulates ~1s then locks,1788341980-0001
2026-09-02,final,LSTMABS_baseline_stock800,"corpus stock, etk800 only",baseline,peak >= 0.9,60.0,1.0582,34.6029,34.6,3.0,2.5,modulates ~1s then locks,1788342013-0002
2026-09-02,final,DynamicABS1,reference: DynamicABS (classical),n/a,n/a,60.0,1.202,30.463,30.46,1.0,2.2,teacher,1788342043-0001
2026-09-02,final,DynamicABS1,reference: DynamicABS (classical),n/a,n/a,60.0,1.2115,30.2257,30.23,1.0,2.19,teacher,1788342076-0002
2026-09-02,final,LSTMABS_baseline_stock800,"corpus stock, etk800 only",baseline,peak >= 0.9,80.0,0.9869,66.0052,,,,modulates ~1s then locks,1788342119-0001
2026-09-02,final,LSTMABS_avg_g_window_hg,corpus minus abs_1f,avg_g_window,peak fwd g >= 0.9,80.0,1.0148,64.1868,64.19,3.8,3.44,locks,1788342153-0001
2026-09-02,dyn,LSTMABS_baseline_dyn,"telemetry DynamicABS, etk800",baseline,"peak >= 0.9, gy2 sensors",60.0,1.1351,32.2588,32.26,4.6,2.35,modulates ~1s then locks late,1788383664-0001
2026-09-02,dyn,LSTMABS_baseline_dyn,"telemetry DynamicABS, etk800",baseline,"peak >= 0.9, gy2 sensors",60.0,1.1264,32.5077,,,,modulates ~1s then locks late,1788383697-0002
2026-09-02,dyn,LSTMABS_baseline_dynnoimu,"telemetry DynamicABS, etk800",baseline,IMU zeroed,60.0,0.3661,100.0251,100.05,4.7,8.39,decel channel essential,1788383726-0001
