session,config,mph,avg_g,dist_m,runID
closedloop,LSTMABS_baseline,60,0.7759,47.1930,1788340491-0001
closedloop,LSTMABS_avg_g_window,60,0.2276,160.8645,1788340521-0001
closedloop,LSTMABS_curation,60,1.0660,34.3503,1788340556-0001
hg,LSTMABS_baseline_hg,60,1.0147,36.0869,1788340878-0001
hg,LSTMABS_baseline_hg,60,1.0177,35.9825,1788340911-0002
hg,LSTMABS_avg_g_window_hg,60,1.0294,35.5711,1788340941-0001
hg,LSTMABS_avg_g_window_hg,60,1.0308,35.5253,1788340973-0002
obscap2,LSTMABS_baseline_stock,60,0.8933,40.9932,1788341768-0001
obscap2,LSTMABS_baseline_stock800,60,1.0716,34.1715,1788341800-0001
obscap2,LSTMABS_baseline_stock16,60,0.7467,49.0416,1788341830-0001
obscap2,LSTMABS_baseline_stocknorpm,60,0.9874,37.0845,1788341861-0001
stock,LSTMABS_baseline_stock,60,0.8942,40.9518,1788341071-0001
stock,LSTMABS_baseline_stock,60,0.8937,40.9723,1788341106-0002
stock,LSTMABS_avg_g_window_stock,60,1.0319,35.4849,1788341137-0001
stock,LSTMABS_avg_g_window_stock,60,1.0260,35.6900,1788341171-0002
stock,LSTMABS_curation_hg,60,0.8813,41.5480,1788341202-0001
stock,LSTMABS_curation_hg,60,0.8935,40.9841,1788341236-0002
force1,LSTMABS_baseline FORCE_CMD=1.0,60,1.0017,36.5572,1788340342-0001
final,LSTMABS_baseline_stock800,60,1.0714,34.1768,1788341980-0001
final,LSTMABS_baseline_stock800,60,1.0582,34.6029,1788342013-0002
final,DynamicABS1,60,1.2020,30.4630,1788342043-0001
final,DynamicABS1,60,1.2115,30.2257,1788342076-0002
final,LSTMABS_baseline_stock800,80,0.9869,66.0052,1788342119-0001
final,LSTMABS_avg_g_window_hg,80,1.0148,64.1868,1788342153-0001
dyn,LSTMABS_baseline_dyn,60,1.1351,32.2588,1788383664-0001
dyn,LSTMABS_baseline_dyn,60,1.1264,32.5077,1788383697-0002
dyn,LSTMABS_baseline_dynnoimu,60,0.3661,100.0251,1788383726-0001
dyn,LSTMABS_baseline_dynnoimu,60,0.3683,99.4258,1788383765-0002
dyn,LSTMABS_baseline_dynstock,60,0.2235,163.8233,1788383800-0001
dyn,LSTMABS_baseline_dynstock,60,0.2247,162.9705,1788383841-0002
dyn,LSTMABS_baseline_dynstocknoabs,60,0.1980,184.9850,1788383878-0001
dyn,LSTMABS_baseline_dynstocknoabs,60,0.1985,184.4360,1788383920-0002
dyn2,LSTMABS_baseline_dynstock2,60,0.2481,147.6195,1788384179-0001
dyn2,LSTMABS_baseline_dynstock2,60,0.2496,146.6775,1788384218-0002
dyn2,LSTMABS_baseline_dynstocknoabs2,60,0.8045,45.5169,1788384252-0001
dyn2,LSTMABS_baseline_dynstocknoabs2,60,0.8411,43.5371,1788384286-0002
dyn2,LSTMABS_baseline_dyn,60,1.1347,32.2703,1788384316-0001
dyn2,LSTMABS_baseline_dyn,60,1.1149,32.8431,1788384348-0002
band,LSTMABS_band_g_dyn,60,1.0644,34.4040,1788387641-0001
band,LSTMABS_band_g_dyn,60,1.0628,34.4554,1788387673-0002
band,LSTMABS_band_gy_dyn,60,1.0554,34.6948,1788387702-0001
band,LSTMABS_band_gy_dyn,60,1.0459,35.0118,1788387735-0002
band,LSTMABS_baseline_dyn,60,1.1304,32.3944,1788387764-0001
band,LSTMABS_baseline_dyn,60,1.1122,32.9227,1788387797-0002
bandmix,LSTMABS_band_g_mix,60,1.1585,31.6070,1788388501-0001
bandmix,LSTMABS_band_g_mix,60,1.1286,32.4456,1788388534-0002
bandmix,LSTMABS_band_gy_mix,60,1.1198,32.7002,1788388562-0001
bandmix,LSTMABS_band_gy_mix,60,1.1240,32.5784,1788388595-0002
